Name,ATT,MID,DEF,OVR,Year
Colombia,81,78,74,78,2015
Russia,78,77,75,77,2015
Switzerland,76,77,78,77,2015
Turkey,78,77,75,76,2015
Chile,76,76,73,76,2015
Uruguay,75,74,77,76,2015
Sweden,80,75,72,74,2015
Côte d'Ivoire,78,75,68,74,2015
Greece,78,73,74,74,2015
Denmark,75,72,74,74,2015
Ireland,74,75,71,74,2015
Czech Republic,73,73,72,74,2015
Poland,72,73,74,74,2015
Austria,71,74,74,74,2015
Scotland,76,72,70,73,2015
United States,76,70,72,73,2015
Wales,73,73,71,73,2015
Cameroon,75,71,74,72,2015
Slovenia,72,71,68,72,2015
Romania,71,72,70,72,2015
Peru,78,68,70,71,2015
Venezuela,73,69,68,71,2015
Mexico,71,70,69,71,2015
Norway,69,72,70,71,2015
Paraguay,68,71,69,71,2015
Ecuador,68,71,67,70,2015
South Africa,68,71,66,70,2015
Korea Republic,66,70,67,70,2015
Australia,71,70,66,69,2015
Hungary,70,72,66,69,2015
Northern Ireland,69,69,67,69,2015
Finland,69,68,68,69,2015
Egypt,72,68,65,68,2015
Bulgaria,67,70,66,68,2015
Bolivia,74,65,67,67,2015
New Zealand,65,60,65,65,2015
India,59,54,53,57,2015
Spain,86,84,83,84,2015
Germany,84,83,82,84,2015
Brazil,83,81,83,82,2015
Italy,81,79,82,82,2015
Argentina,84,80,80,81,2015
France,83,80,80,81,2015
Belgium,76,80,80,81,2015
England,83,78,79,80,2015
Netherlands,83,77,76,80,2015
Portugal,82,79,79,80,2015
Colombia,82,78,74,78,2015
Turkey,77,78,77,78,2015
Russia,78,77,74,77,2015
Uruguay,78,75,76,76,2015
Sweden,78,75,75,76,2015
Côte d'Ivoire,77,77,74,76,2015
Switzerland,75,77,76,76,2015
Mexico,78,74,74,75,2015
Chile,77,75,70,75,2015
Poland,76,74,73,75,2015
Cameroon,76,72,75,75,2015
United States,76,74,72,74,2015
Ireland,75,75,73,74,2015
Greece,74,72,75,74,2015
Czech Republic,73,73,73,74,2015
Denmark,71,75,75,74,2015
Paraguay,77,73,69,73,2015
Scotland,75,74,69,73,2015
Austria,73,74,71,73,2015
Romania,73,72,72,73,2015
Wales,69,74,72,73,2015
Ecuador,74,71,68,72,2015
Slovenia,70,72,71,72,2015
Venezuela,74,69,70,71,2015
Peru,73,71,70,71,2015
Norway,71,72,70,71,2015
Korea Republic,70,70,70,71,2015
Northern Ireland,71,69,69,70,2015
Hungary,70,71,66,70,2015
Finland,68,71,68,70,2015
Australia,74,70,66,69,2015
Egypt,70,68,67,69,2015
South Africa,66,69,69,69,2015
Bulgaria,66,70,65,68,2015
Bolivia,68,60,63,65,2015
New Zealand,66,59,62,64,2015
India,59,56,56,57,2015
Germany,82,82,78,84,2015
Spain,80,84,82,83,2015
Argentina,86,80,81,82,2015
Brazil,82,80,83,82,2015
Belgium,80,81,77,81,2015
France,80,80,80,81,2015
Portugal,83,80,75,80,2015
England,81,78,78,80,2015
Italy,79,79,77,79,2015
Netherlands,78,82,77,79,2015
Colombia,82,75,75,78,2015
Russia,78,77,75,77,2015
Switzerland,76,77,78,77,2015
Mexico,79,75,73,76,2015
Turkey,78,77,75,76,2015
Chile,76,76,73,76,2015
Uruguay,75,75,76,76,2015
Poland,78,72,74,75,2015
Sweden,80,75,72,74,2015
Côte d'Ivoire,78,75,68,74,2015
Greece,78,73,74,74,2015
Denmark,75,72,74,74,2015
Ireland,74,75,71,74,2015
Czech Republic,73,73,72,74,2015
Austria,71,74,74,74,2015
Scotland,76,72,70,73,2015
United States,76,70,72,73,2015
Wales,73,73,71,73,2015
Cameroon,75,71,73,72,2015
Slovenia,72,71,68,72,2015
Romania,71,72,70,72,2015
Peru,78,70,70,71,2015
Venezuela,73,69,68,71,2015
Norway,69,72,70,71,2015
Paraguay,68,71,69,71,2015
South Africa,68,71,66,70,2015
Korea Republic,66,70,67,70,2015
Ecuador,71,70,67,69,2015
Australia,71,70,66,69,2015
Hungary,70,72,66,69,2015
Northern Ireland,69,69,67,69,2015
Egypt,72,68,65,68,2015
Finland,69,68,68,68,2015
Bulgaria,67,70,66,68,2015
Bolivia,68,65,67,67,2015
New Zealand,65,60,65,65,2015
India,59,54,53,57,2015
Spain,86,84,83,84,2015
Germany,78,83,81,84,2015
Argentina,88,81,82,83,2015
Brazil,83,80,83,83,2015
France,84,81,81,82,2015
Belgium,80,81,80,82,2015
Netherlands,83,79,78,81,2015
Italy,79,80,81,81,2015
Portugal,85,79,78,80,2015
England,78,79,80,80,2015
Turkey,80,78,75,78,2015
Switzerland,78,77,78,78,2015
Russia,78,77,76,78,2015
Colombia,82,76,75,77,2015
Poland,82,74,73,77,2015
Uruguay,77,74,79,77,2015
Sweden,80,75,74,76,2015
Mexico,79,75,74,76,2015
Greece,78,73,78,76,2015
Chile,76,77,74,76,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,76,74,73,75,2015
Denmark,73,76,74,75,2015
Austria,73,75,76,75,2015
Scotland,76,73,72,74,2015
United States,75,73,72,74,2015
Wales,74,74,73,74,2015
Slovenia,72,74,71,74,2015
Cameroon,72,72,77,74,2015
Paraguay,75,70,68,73,2015
Romania,72,72,72,73,2015
Czech Republic,70,67,73,73,2015
Venezuela,74,69,71,72,2015
Ecuador,72,73,68,72,2015
Norway,71,73,71,72,2015
Hungary,73,70,67,71,2015
Australia,72,71,68,71,2015
Peru,71,72,70,71,2015
Finland,68,72,70,71,2015
South Africa,66,69,70,71,2015
Egypt,73,69,66,70,2015
Northern Ireland,70,69,69,70,2015
China PR,70,68,65,70,2015
Bulgaria,67,71,68,69,2015
Bolivia,68,64,64,66,2015
Canada,64,61,65,65,2015
New Zealand,66,60,64,64,2015
India,61,54,56,58,2015
Spain,86,85,83,84,2015
Germany,78,83,81,84,2015
Argentina,88,81,82,83,2015
Brazil,83,80,83,83,2015
France,84,81,81,82,2015
Belgium,80,81,80,82,2015
Portugal,85,79,77,81,2015
Netherlands,83,79,78,81,2015
Italy,79,80,81,81,2015
England,78,79,80,80,2015
Turkey,80,78,75,78,2015
Switzerland,78,77,78,78,2015
Russia,78,77,76,78,2015
Colombia,82,76,75,77,2015
Poland,82,74,73,77,2015
Uruguay,77,74,80,77,2015
Sweden,80,75,74,76,2015
Mexico,79,75,74,76,2015
Greece,78,73,78,76,2015
Chile,76,77,74,76,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,76,73,74,75,2015
Denmark,73,76,74,75,2015
Austria,73,75,76,75,2015
Scotland,76,73,72,74,2015
United States,75,73,72,74,2015
Wales,74,74,73,74,2015
Slovenia,72,74,71,74,2015
Cameroon,72,73,77,74,2015
Paraguay,75,70,68,73,2015
Romania,72,72,72,73,2015
Czech Republic,70,67,73,73,2015
Venezuela,74,69,71,72,2015
Norway,71,73,71,72,2015
Ecuador,71,73,68,72,2015
Australia,72,71,69,71,2015
Hungary,72,70,67,71,2015
Peru,71,72,70,71,2015
Finland,68,72,70,71,2015
South Africa,67,69,70,71,2015
Egypt,73,69,66,70,2015
Northern Ireland,70,69,69,70,2015
China PR,70,68,65,70,2015
Bulgaria,67,71,68,69,2015
Bolivia,68,64,64,66,2015
Canada,64,61,65,65,2015
New Zealand,66,60,64,64,2015
India,61,54,56,58,2015
Spain,86,85,84,85,2015
Germany,79,83,81,84,2015
Argentina,87,82,81,83,2015
Brazil,83,80,83,83,2015
France,84,81,81,82,2015
Belgium,81,81,80,82,2015
Portugal,85,79,78,81,2015
Netherlands,83,79,77,81,2015
Italy,79,79,81,81,2015
England,78,79,81,81,2015
Turkey,79,78,75,78,2015
Russia,79,76,77,78,2015
Switzerland,77,77,78,78,2015
Colombia,81,76,75,77,2015
Uruguay,77,74,79,77,2015
Chile,76,78,74,77,2015
Poland,82,74,73,76,2015
Sweden,80,76,74,76,2015
Mexico,78,76,75,76,2015
Greece,78,74,78,76,2015
Denmark,74,77,75,76,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,76,73,75,75,2015
Austria,72,75,76,75,2015
Scotland,76,73,72,74,2015
United States,75,74,72,74,2015
Wales,74,75,73,74,2015
Slovenia,73,74,71,74,2015
Cameroon,72,73,77,74,2015
Paraguay,73,72,74,73,2015
Romania,72,72,72,73,2015
Czech Republic,70,67,74,73,2015
Venezuela,75,69,71,72,2015
Norway,71,73,72,72,2015
Ecuador,71,73,69,72,2015
Peru,72,71,70,71,2015
Hungary,72,70,67,71,2015
Australia,71,71,69,71,2015
Finland,68,72,70,71,2015
South Africa,67,69,71,71,2015
Egypt,73,70,67,70,2015
Northern Ireland,70,70,69,70,2015
China PR,70,68,65,70,2015
Bulgaria,68,71,68,69,2015
Bolivia,69,64,64,66,2015
Canada,66,65,64,66,2015
New Zealand,66,61,65,64,2015
India,61,55,56,58,2015
Spain,81,85,84,84,2015
Germany,79,83,81,84,2015
Brazil,84,80,84,83,2015
France,83,82,80,82,2015
Argentina,83,83,79,81,2015
Italy,80,78,82,81,2015
Portugal,85,80,79,80,2015
Netherlands,80,82,75,80,2015
Belgium,78,81,78,80,2015
England,78,80,80,80,2015
Colombia,82,76,75,78,2015
Russia,79,77,77,78,2015
Chile,78,77,75,78,2015
Switzerland,77,77,80,78,2015
Turkey,79,77,75,77,2015
Poland,87,73,73,76,2015
Sweden,80,75,74,76,2015
Mexico,77,76,74,76,2015
Greece,76,73,78,76,2015
Denmark,75,77,75,76,2015
Uruguay,74,74,77,76,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,76,74,73,75,2015
Austria,72,75,76,75,2015
Scotland,76,74,72,74,2015
United States,75,74,72,74,2015
Wales,74,75,73,74,2015
Slovenia,73,74,71,74,2015
Cameroon,72,73,77,74,2015
Paraguay,74,72,72,73,2015
Romania,72,73,72,73,2015
Czech Republic,70,67,73,73,2015
Peru,76,72,70,72,2015
Ecuador,72,74,69,72,2015
Norway,71,73,72,72,2015
Venezuela,74,68,71,71,2015
Hungary,71,70,68,71,2015
Australia,70,71,69,71,2015
Finland,68,72,70,71,2015
South Africa,67,69,71,71,2015
Egypt,73,70,67,70,2015
Northern Ireland,66,70,69,70,2015
China PR,69,68,65,69,2015
Bulgaria,68,71,68,69,2015
Bolivia,69,64,64,66,2015
Canada,66,65,64,66,2015
New Zealand,66,60,65,64,2015
India,61,55,57,58,2015
Spain,83,85,84,84,2015
Germany,78,83,81,84,2015
Brazil,84,81,84,83,2015
France,81,81,79,82,2015
Argentina,84,82,79,81,2015
Italy,78,81,82,81,2015
England,78,80,80,81,2015
Portugal,85,80,79,80,2015
Netherlands,80,82,75,80,2015
Belgium,78,81,78,80,2015
Colombia,82,76,75,78,2015
Russia,79,78,76,78,2015
Chile,78,77,75,78,2015
Switzerland,76,76,78,78,2015
Turkey,75,78,76,77,2015
Poland,87,73,73,76,2015
Mexico,77,75,76,76,2015
Greece,76,73,78,76,2015
Denmark,75,76,75,76,2015
Uruguay,74,74,80,76,2015
Sweden,79,74,75,75,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,77,74,74,75,2015
Austria,72,78,75,75,2015
Scotland,76,74,72,74,2015
United States,75,74,72,74,2015
Wales,74,75,73,74,2015
Slovenia,73,74,71,74,2015
Cameroon,72,73,77,74,2015
Romania,72,73,72,73,2015
Czech Republic,70,67,73,73,2015
Peru,76,72,71,72,2015
Ecuador,72,74,70,72,2015
Paraguay,72,71,72,72,2015
Norway,70,72,72,72,2015
South Africa,68,71,72,72,2015
Hungary,72,70,68,71,2015
Venezuela,72,69,71,71,2015
Australia,70,71,69,71,2015
Egypt,73,70,67,70,2015
Northern Ireland,70,70,69,70,2015
Finland,69,68,68,70,2015
China PR,69,68,65,69,2015
Bulgaria,68,71,68,69,2015
Canada,66,65,64,66,2015
Bolivia,64,63,64,65,2015
New Zealand,66,60,65,64,2015
India,61,55,57,58,2015
Spain,83,85,84,84,2015
Germany,78,83,81,84,2015
Brazil,84,81,84,83,2015
France,81,81,79,82,2015
Argentina,84,82,79,81,2015
Italy,78,81,82,81,2015
England,78,80,80,81,2015
Portugal,85,80,79,80,2015
Netherlands,80,82,75,80,2015
Belgium,78,81,78,80,2015
Colombia,82,76,75,78,2015
Russia,79,78,76,78,2015
Chile,78,77,75,78,2015
Switzerland,76,76,78,78,2015
Turkey,75,78,76,77,2015
Poland,87,73,73,76,2015
Mexico,77,75,76,76,2015
Greece,76,73,78,76,2015
Denmark,75,76,75,76,2015
Uruguay,74,74,80,76,2015
Sweden,79,74,75,75,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,77,74,74,75,2015
Austria,72,78,75,75,2015
Scotland,76,74,72,74,2015
United States,75,74,72,74,2015
Wales,74,75,73,74,2015
Slovenia,73,74,71,74,2015
Cameroon,72,73,77,74,2015
Romania,72,73,72,73,2015
Czech Republic,70,67,73,73,2015
Peru,76,72,71,72,2015
Ecuador,72,74,70,72,2015
Paraguay,72,71,72,72,2015
Norway,70,72,72,72,2015
South Africa,68,71,72,72,2015
Hungary,72,70,68,71,2015
Venezuela,72,69,71,71,2015
Australia,70,71,69,71,2015
Egypt,73,70,67,70,2015
Northern Ireland,70,70,69,70,2015
Finland,69,68,68,70,2015
China PR,69,68,65,69,2015
Bulgaria,68,71,68,69,2015
Canada,66,65,64,66,2015
Bolivia,64,63,64,65,2015
New Zealand,66,60,65,64,2015
India,61,55,57,58,2015
Spain,83,85,84,84,2015
Germany,78,83,81,84,2015
Argentina,86,83,79,83,2015
Brazil,84,81,84,83,2015
France,81,81,79,82,2015
Italy,78,81,82,81,2015
Portugal,85,80,79,80,2015
Netherlands,80,82,75,80,2015
England,79,80,80,80,2015
Belgium,78,81,79,80,2015
Colombia,82,76,75,78,2015
Russia,79,78,76,78,2015
Chile,78,77,75,78,2015
Switzerland,76,76,78,78,2015
Turkey,75,78,76,77,2015
Poland,87,73,73,76,2015
Mexico,77,75,76,76,2015
Greece,76,73,78,76,2015
Denmark,75,76,75,76,2015
Uruguay,74,74,80,76,2015
Sweden,79,74,74,75,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,77,74,74,75,2015
Austria,72,78,75,75,2015
Scotland,76,74,72,74,2015
United States,75,74,72,74,2015
Wales,74,75,73,74,2015
Slovenia,73,74,71,74,2015
Cameroon,73,73,77,74,2015
Romania,72,73,72,73,2015
Czech Republic,70,67,73,73,2015
Peru,76,72,71,72,2015
Ecuador,72,75,70,72,2015
Paraguay,72,71,72,72,2015
Norway,70,72,72,72,2015
South Africa,68,72,72,72,2015
Hungary,72,70,68,71,2015
Venezuela,72,69,71,71,2015
Australia,70,71,69,71,2015
Egypt,73,70,67,70,2015
Northern Ireland,70,70,69,70,2015
Finland,69,68,68,70,2015
China PR,69,68,65,69,2015
Bulgaria,68,71,68,69,2015
Canada,66,65,64,66,2015
Bolivia,64,63,64,65,2015
New Zealand,66,60,65,64,2015
India,61,55,57,58,2015
Spain,83,85,84,84,2015
Germany,78,83,81,84,2015
Argentina,86,82,78,83,2015
Brazil,84,81,84,83,2015
France,81,81,79,82,2015
Italy,78,81,82,81,2015
Portugal,85,80,79,80,2015
Netherlands,80,81,75,80,2015
England,79,80,80,80,2015
Belgium,78,81,79,80,2015
Colombia,82,76,75,78,2015
Russia,79,78,76,78,2015
Chile,78,77,75,78,2015
Switzerland,76,76,78,78,2015
Uruguay,77,73,79,77,2015
Turkey,75,78,76,77,2015
Poland,87,73,73,76,2015
Mexico,77,75,76,76,2015
Greece,76,73,78,76,2015
Denmark,75,76,75,76,2015
Sweden,79,74,74,75,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,77,74,74,75,2015
Austria,72,77,75,75,2015
Scotland,76,74,72,74,2015
United States,75,74,72,74,2015
Wales,74,75,73,74,2015
Slovenia,73,74,71,74,2015
Cameroon,73,73,77,74,2015
Paraguay,74,71,72,73,2015
Romania,72,73,72,73,2015
Czech Republic,70,67,73,73,2015
Peru,76,72,71,72,2015
Ecuador,72,75,70,72,2015
Norway,70,72,72,72,2015
South Africa,68,72,72,72,2015
Hungary,72,70,68,71,2015
Venezuela,72,69,71,71,2015
Australia,70,71,69,71,2015
Egypt,73,70,67,70,2015
Northern Ireland,70,70,69,70,2015
Finland,69,68,68,70,2015
China PR,69,68,65,69,2015
Bulgaria,68,71,68,69,2015
Canada,66,65,64,66,2015
Bolivia,64,63,64,65,2015
New Zealand,66,60,65,64,2015
India,61,55,57,58,2015
Spain,83,85,84,84,2015
Germany,78,83,81,84,2015
Argentina,86,82,78,83,2015
Brazil,84,81,83,83,2015
France,80,82,81,82,2015
Italy,77,81,81,81,2015
Portugal,85,80,79,80,2015
Netherlands,80,81,76,80,2015
England,79,80,80,80,2015
Belgium,78,81,79,80,2015
Colombia,80,79,75,78,2015
Russia,79,78,76,78,2015
Chile,78,77,75,78,2015
Switzerland,76,76,78,78,2015
Mexico,77,75,76,77,2015
Uruguay,77,73,79,77,2015
Turkey,75,78,76,77,2015
Poland,87,73,73,76,2015
Greece,76,73,78,76,2015
Denmark,75,76,75,76,2015
Sweden,79,74,74,75,2015
Côte d'Ivoire,78,77,70,75,2015
Ireland,77,74,75,75,2015
Slovenia,73,74,72,75,2015
Austria,72,77,74,75,2015
Scotland,76,74,72,74,2015
United States,75,74,72,74,2015
Wales,74,75,73,74,2015
Cameroon,73,73,77,74,2015
Paraguay,74,71,72,73,2015
Romania,72,73,72,73,2015
Czech Republic,70,67,73,73,2015
Peru,76,72,71,72,2015
Ecuador,73,75,70,72,2015
Venezuela,73,69,71,72,2015
Norway,70,72,72,72,2015
South Africa,68,72,72,72,2015
Hungary,73,71,69,71,2015
Australia,71,71,68,71,2015
Egypt,73,70,67,70,2015
Northern Ireland,70,70,69,70,2015
China PR,70,68,65,70,2015
Finland,69,68,68,70,2015
Bulgaria,68,71,68,69,2015
Canada,66,65,64,66,2015
Bolivia,64,63,64,65,2015
New Zealand,66,60,65,64,2015
India,61,55,57,58,2015
Spain,83,85,83,84,2015
Germany,80,84,81,84,2015
Argentina,86,81,78,82,2015
Brazil,83,80,83,82,2015
France,80,82,81,82,2015
Portugal,85,81,79,81,2015
Italy,77,81,81,81,2015
Netherlands,81,79,76,80,2015
Belgium,79,81,78,80,2015
England,79,80,80,80,2015
Colombia,79,79,74,78,2015
Chile,78,79,75,78,2015
Switzerland,78,76,78,78,2015
Russia,80,76,76,77,2015
Mexico,78,75,74,77,2015
Turkey,77,77,76,77,2015
Uruguay,77,75,77,77,2015
Poland,87,72,73,76,2015
Denmark,76,75,75,76,2015
Greece,76,73,78,76,2015
Côte d'Ivoire,78,77,70,75,2015
Sweden,78,73,74,75,2015
Ireland,76,74,74,75,2015
Slovenia,73,73,73,75,2015
Scotland,76,74,72,74,2015
United States,75,74,72,74,2015
Wales,74,75,73,74,2015
Austria,71,76,74,74,2015
Cameroon,74,73,75,73,2015
Paraguay,74,71,72,73,2015
Romania,71,72,73,73,2015
Czech Republic,69,68,72,73,2015
Peru,76,72,71,72,2015
Norway,74,72,72,72,2015
